,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
79,0.746,0.576,5,-4.507,1,0.0367,0.356,0.00698,0.326,0.919,80.645,audio_features,33rdVmEEjh3wYWBWoFWvwi,spotify:track:33rdVmEEjh3wYWBWoFWvwi,https://api.spotify.com/v1/tracks/33rdVmEEjh3wYWBWoFWvwi,https://api.spotify.com/v1/audio-analysis/33rdVmEEjh3wYWBWoFWvwi,191560,4
80,0.817,0.469,0,-9.302,1,0.0337,0.114,0.000162,0.136,0.784,84.689,audio_features,5UD98Sz4F4Jl2mtUsRPnxS,spotify:track:5UD98Sz4F4Jl2mtUsRPnxS,https://api.spotify.com/v1/tracks/5UD98Sz4F4Jl2mtUsRPnxS,https://api.spotify.com/v1/audio-analysis/5UD98Sz4F4Jl2mtUsRPnxS,201200,4
81,0.606,0.646,4,-8.244,0,0.0374,0.752,0.00143,0.125,0.759,79.05,audio_features,4t5ARSYWg1wBOAXh6Yvr9g,spotify:track:4t5ARSYWg1wBOAXh6Yvr9g,https://api.spotify.com/v1/tracks/4t5ARSYWg1wBOAXh6Yvr9g,https://api.spotify.com/v1/audio-analysis/4t5ARSYWg1wBOAXh6Yvr9g,189987,4
82,0.682,0.678,7,-9.626,1,0.11,0.2,0.000163,0.109,0.517,175.18,audio_features,0STIV4K7EZkp2YHAyyu5em,spotify:track:0STIV4K7EZkp2YHAyyu5em,https://api.spotify.com/v1/tracks/0STIV4K7EZkp2YHAyyu5em,https://api.spotify.com/v1/audio-analysis/0STIV4K7EZkp2YHAyyu5em,231267,4
83,0.883,0.521,4,-6.845,1,0.309,0.229,0.0,0.0794,0.962,143.804,audio_features,28auprp3b9yjwPYmUxFxkR,spotify:track:28auprp3b9yjwPYmUxFxkR,https://api.spotify.com/v1/tracks/28auprp3b9yjwPYmUxFxkR,https://api.spotify.com/v1/audio-analysis/28auprp3b9yjwPYmUxFxkR,154333,4
84,0.768,0.446,3,-6.876,1,0.0486,0.719,1.62e-05,0.114,0.895,87.938,audio_features,2Q5lnX5AiN6P9TPbfYtsBB,spotify:track:2Q5lnX5AiN6P9TPbfYtsBB,https://api.spotify.com/v1/tracks/2Q5lnX5AiN6P9TPbfYtsBB,https://api.spotify.com/v1/audio-analysis/2Q5lnX5AiN6P9TPbfYtsBB,153787,4
85,0.52,0.309,7,-10.708,1,0.0308,0.247,0.0,0.0985,0.822,97.567,audio_features,1GUcIBgJB2AX0Ex6J6SKXM,spotify:track:1GUcIBgJB2AX0Ex6J6SKXM,https://api.spotify.com/v1/tracks/1GUcIBgJB2AX0Ex6J6SKXM,https://api.spotify.com/v1/audio-analysis/1GUcIBgJB2AX0Ex6J6SKXM,165667,4
86,0.685,0.36,0,-9.572,1,0.0568,0.18,0.0,0.112,0.597,160.448,audio_features,1q8gelFgFYUwoWpQV7WNCe,spotify:track:1q8gelFgFYUwoWpQV7WNCe,https://api.spotify.com/v1/tracks/1q8gelFgFYUwoWpQV7WNCe,https://api.spotify.com/v1/audio-analysis/1q8gelFgFYUwoWpQV7WNCe,204027,4
87,0.932,0.375,9,-11.135,0,0.144,0.0913,0.0521,0.0886,0.914,107.33,audio_features,4gukGozFOurNmDXZzgQHaP,spotify:track:4gukGozFOurNmDXZzgQHaP,https://api.spotify.com/v1/tracks/4gukGozFOurNmDXZzgQHaP,https://api.spotify.com/v1/audio-analysis/4gukGozFOurNmDXZzgQHaP,162467,4
88,0.801,0.435,10,-9.33,1,0.0448,0.184,0.0,0.0904,0.953,146.459,audio_features,6zsH33Xbm0gAtBTx9R2vP0,spotify:track:6zsH33Xbm0gAtBTx9R2vP0,https://api.spotify.com/v1/tracks/6zsH33Xbm0gAtBTx9R2vP0,https://api.spotify.com/v1/audio-analysis/6zsH33Xbm0gAtBTx9R2vP0,156787,4
89,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,audio_features,7ixiCZEHWHc8FxaQXQh2P4,spotify:track:7ixiCZEHWHc8FxaQXQh2P4,https://api.spotify.com/v1/tracks/7ixiCZEHWHc8FxaQXQh2P4,https://api.spotify.com/v1/audio-analysis/7ixiCZEHWHc8FxaQXQh2P4,196507,4
90,0.743,0.519,2,-7.969,1,0.171,0.534,3.34e-05,0.0917,0.641,83.323,audio_features,5uhpcQw9HfN4TMmYaAgxmh,spotify:track:5uhpcQw9HfN4TMmYaAgxmh,https://api.spotify.com/v1/tracks/5uhpcQw9HfN4TMmYaAgxmh,https://api.spotify.com/v1/audio-analysis/5uhpcQw9HfN4TMmYaAgxmh,152613,4
91,0.743,0.443,7,-11.808,1,0.0878,0.049,1.25e-05,0.131,0.467,84.159,audio_features,41Z1gnggllzvu7qOWTaSTE,spotify:track:41Z1gnggllzvu7qOWTaSTE,https://api.spotify.com/v1/tracks/41Z1gnggllzvu7qOWTaSTE,https://api.spotify.com/v1/audio-analysis/41Z1gnggllzvu7qOWTaSTE,175027,4
92,0.786,0.803,0,-6.59,1,0.205,0.0294,0.0,0.224,0.949,173.029,audio_features,1nXTM2CVdaoCySSD5kgt3J,spotify:track:1nXTM2CVdaoCySSD5kgt3J,https://api.spotify.com/v1/tracks/1nXTM2CVdaoCySSD5kgt3J,https://api.spotify.com/v1/audio-analysis/1nXTM2CVdaoCySSD5kgt3J,229000,4
93,0.83,0.467,9,-10.936,1,0.0953,0.0551,1.64e-05,0.0662,0.837,140.569,audio_features,4VC6Ihh1epJiQPiiMpJXDE,spotify:track:4VC6Ihh1epJiQPiiMpJXDE,https://api.spotify.com/v1/tracks/4VC6Ihh1epJiQPiiMpJXDE,https://api.spotify.com/v1/audio-analysis/4VC6Ihh1epJiQPiiMpJXDE,198440,4
94,0.955,0.324,0,-15.105,1,0.211,0.181,0.05,0.0756,0.96,122.211,audio_features,6aC8NTVpetj62Ajixqzlsb,spotify:track:6aC8NTVpetj62Ajixqzlsb,https://api.spotify.com/v1/tracks/6aC8NTVpetj62Ajixqzlsb,https://api.spotify.com/v1/audio-analysis/6aC8NTVpetj62Ajixqzlsb,230053,4
95,0.937,0.497,10,-9.487,1,0.088,0.542,0.0138,0.173,0.97,115.16,audio_features,7fgWjudYcn1YXHETaz8Coh,spotify:track:7fgWjudYcn1YXHETaz8Coh,https://api.spotify.com/v1/tracks/7fgWjudYcn1YXHETaz8Coh,https://api.spotify.com/v1/audio-analysis/7fgWjudYcn1YXHETaz8Coh,192107,4
96,0.576,0.529,5,-10.074,1,0.276,0.292,0.00214,0.0577,0.734,74.481,audio_features,3B59dR6lPY1FKbBwsXbcON,spotify:track:3B59dR6lPY1FKbBwsXbcON,https://api.spotify.com/v1/tracks/3B59dR6lPY1FKbBwsXbcON,https://api.spotify.com/v1/audio-analysis/3B59dR6lPY1FKbBwsXbcON,170307,4
97,0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.946,95.107,audio_features,1HGyhNaRUFEDBiVLbvtbL6,spotify:track:1HGyhNaRUFEDBiVLbvtbL6,https://api.spotify.com/v1/tracks/1HGyhNaRUFEDBiVLbvtbL6,https://api.spotify.com/v1/audio-analysis/1HGyhNaRUFEDBiVLbvtbL6,245000,4
98,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
99,0.897,0.558,5,-7.616,1,0.0537,0.224,0.000447,0.0808,0.854,126.686,audio_features,1RZ4boB60p2cIpv0CB38vB,spotify:track:1RZ4boB60p2cIpv0CB38vB,https://api.spotify.com/v1/tracks/1RZ4boB60p2cIpv0CB38vB,https://api.spotify.com/v1/audio-analysis/1RZ4boB60p2cIpv0CB38vB,224680,4
