danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.359,0.781,9,-4.915,0.0675,0.623,0.0,0.156,0.761,126.562,1UWLUEAdn9qtaqwYo2RhQV,4
0.457,0.482,2,-14.694,0.0286,0.296,0.000669,0.109,0.787,96.138,4YwIblyn5m2XAJ7ljh5d79,4
0.5,0.142,3,-18.151,0.0402,0.935,0.00474,0.106,0.426,131.588,5UaJ4zxtCIi5WZomhoZIeq,4
0.545,0.493,2,-12.413,0.0594,0.856,0.499,0.142,0.701,77.05,5AKrqJ7RiOCfCaaCuxxGk0,4
0.665,0.747,0,-6.745,0.0309,0.126,0.0,0.0721,0.669,90.628,5vSyBKGgP8DwErMptrUmL7,4
0.673,0.491,0,-11.185,0.0532,0.633,7.44e-06,0.102,0.86,177.01,1svfbK2H2QKr0eLR2kLjrm,4
0.463,0.338,5,-16.857,0.034,0.393,0.028,0.086,0.429,140.724,3JbZ8W2aFTIEP6EidBlN38,4
0.536,0.69,4,-7.834,0.0358,0.154,0.0,0.118,0.732,151.036,5OkF77qBxfugsgVxJexhTc,4
0.563,0.886,9,-9.008,0.0993,0.0479,7.33e-05,0.0384,0.717,89.234,6eDMElxeeKXs4DHTb0dGP0,4
0.563,0.743,4,-9.465,0.0704,0.197,0.0,0.643,0.756,139.451,0E0I5N6j2lWOfVl75qHGjD,4
0.481,0.284,11,-14.762,0.186,0.634,0.000168,0.91,0.528,83.979,02a8cGumnKuEPgoCzmalJp,3
0.716,0.55,9,-10.779,0.121,0.39,1.8e-05,0.619,0.966,88.82,6HJgN2v2HiPNstNnHrVtK8,4
0.731,0.299,5,-17.199,0.0485,0.889,0.223,0.11,0.46,119.768,18jzP0rBaHJ2gjVhZ5OvKn,4
0.558,0.398,5,-9.495,0.0415,0.892,0.011,0.698,0.598,174.615,44JfUFIWZC52q5pZkQw4GD,4
0.593,0.557,5,-8.525,0.0336,0.394,0.000148,0.279,0.857,100.574,3S6yNgNbBSiopBYW0Zb6UE,4
0.444,0.125,7,-17.077,0.0553,0.873,1.75e-06,0.128,0.634,58.935,3vVSDDpvFLXzVANVris5nl,4
0.549,0.296,0,-11.566,0.0337,0.652,0.000692,0.112,0.189,121.292,0yjDc4KBrJ7bBbfh1UWuTi,4
0.618,0.153,2,-16.856,0.0415,0.928,0.00558,0.134,0.324,136.361,1SL9baz3WrN29MAkeyvaHn,4
0.703,0.278,0,-11.32,0.0662,0.543,0.0,0.146,0.623,114.322,2VBN5kSs1fyiE5fnOYeKsG,4
0.378,0.296,6,-13.636,0.0386,0.793,0.0,0.156,0.498,78.364,5LJZNh5Ynvm9SSohZK71Ut,4
0.712,0.296,2,-14.753,0.0533,0.836,0.0,0.0859,0.863,87.742,2c9kfJQTPekOtiFDsKxxSK,4
0.579,0.39,7,-10.095,0.0341,0.909,0.00192,0.245,0.525,85.078,6MZ32gDdyAcKgKqUx9riac,4
0.518,0.308,0,-13.429,0.0451,0.788,0.0571,0.133,0.368,81.149,60TftyBmMIL7wBdM37KuRj,1
0.517,0.541,7,-7.525,0.0394,0.567,0.0,0.143,0.827,103.401,05c0xQt46QZBFQs32W5dZB,4
0.586,0.288,11,-14.312,0.111,0.567,0.000162,0.7,0.687,122.291,27BDOJPnlXeY2faGm6NGvq,4
0.735,0.358,9,-13.922,0.259,0.616,0.0298,0.0708,0.86,157.578,64G6iENEz5M8IKPwAfMnHd,4
0.575,0.717,0,-8.478,0.129,0.579,1.43e-05,0.373,0.586,105.661,6FYrWl3lutVP9jAs1mCgSX,4
0.488,0.579,11,-8.49,0.0615,0.318,1.22e-05,0.0418,0.943,86.198,6fac0s5QjTmeOP3b6uYzBb,4
0.704,0.794,9,-10.446,0.0691,0.472,0.164,0.268,0.655,101.512,5GwCFfROJdrkgxJnfuUD3s,4
0.63,0.909,2,-9.182,0.0639,0.0112,3.85e-05,0.151,0.95,169.831,7seBDnA6J2NkLSExizy9xj,4
